key_a,key_b,alpha,clean_accuracy,clean_loss
210_3,240_2,0.0,79.05,0.9903619645118713
210_3,240_2,0.1,79.33,0.9769396175384522
210_3,240_2,0.2,79.64,0.9674829265594482
210_3,240_2,0.3,79.79,0.9605383199691773
210_3,240_2,0.4,79.94,0.9554422132492065
210_3,240_2,0.5,79.94,0.952454102230072
210_3,240_2,0.6,80.02,0.9518133793830872
210_3,240_2,0.7,80.04,0.9531518299102784
210_3,240_2,0.8,79.94,0.9570305034637451
210_3,240_2,0.9,79.77,0.964047932434082
210_3,240_2,1.0,79.68,0.976602015209198
190_1,210_4,0.0,78.98,0.9700435718536377
190_1,210_4,0.1,75.25,1.0960620218276977
190_1,210_4,0.2,65.56,1.5441283823013305
190_1,210_4,0.3,52.93,2.1303010944366454
190_1,210_4,0.4,44.68,2.496353387069702
190_1,210_4,0.5,43.8,2.5116425312042234
190_1,210_4,0.6,49.46,2.213595124053955
190_1,210_4,0.7,59.65,1.7292867797851563
190_1,210_4,0.8,70.64,1.2776494667053222
190_1,210_4,0.9,76.89,1.0197404623985291
190_1,210_4,1.0,78.53,0.9717032936096192
190_1,230_3,0.0,79.31,0.9794563477516174
190_1,230_3,0.1,22.22,3.8143513656616213
190_1,230_3,0.2,4.38,4.5190026008605955
190_1,230_3,0.3,3.26,4.557059854125977
190_1,230_3,0.4,3.01,4.561655939483643
190_1,230_3,0.5,3.56,4.54444744796753
190_1,230_3,0.6,5.71,4.466173054504394
190_1,230_3,0.7,15.94,4.011043597412109
190_1,230_3,0.8,45.71,2.4441423122406007
190_1,230_3,0.9,72.43,1.2179127546310424
190_1,230_3,1.0,78.53,0.9717032936096192
240_2,300_4,0.0,79.24,0.9924083578109741
240_2,300_4,0.1,79.25,0.98861036195755
240_2,300_4,0.2,79.21,0.9856929203033448
240_2,300_4,0.3,79.33,0.9836395285606384
240_2,300_4,0.4,79.4,0.9823178398132324
240_2,300_4,0.5,79.29,0.9817931509017944
240_2,300_4,0.6,79.26,0.9819905153274536
240_2,300_4,0.7,79.21,0.9828941261291504
240_2,300_4,0.8,79.16,0.984583741569519
240_2,300_4,0.9,79.08,0.9871624522209167
240_2,300_4,1.0,79.05,0.9903619645118713
240_1,240_3,0.0,78.48,1.0092211798667907
240_1,240_3,0.1,35.23,3.196383199310303
240_1,240_3,0.2,8.96,4.498219611358643
240_1,240_3,0.3,6.37,4.551483799743652
240_1,240_3,0.4,7.09,4.560868717193603
240_1,240_3,0.5,10.68,4.489541999053955
240_1,240_3,0.6,21.91,3.9440013450622557
240_1,240_3,0.7,43.13,2.6935741889953615
240_1,240_3,0.8,64.85,1.581368662261963
240_1,240_3,0.9,75.8,1.0891137769699097
240_1,240_3,1.0,78.21,0.9845108907699585
230_3,240_3,0.0,78.48,1.0092211798667907
230_3,240_3,0.1,78.89,0.9938069292068481
230_3,240_3,0.2,78.92,0.9825109382629394
