run_id,seed,model_type,clean_acc,clean_loss,corrupted_acc,corrupted_loss
0,42,Baseline,78.42,1.02,51.87,2.32
0,42,SWA,79.75,0.89,55.45,2.44
1,43,Baseline,78.04,1.04,50.76,2.38
1,43,SWA,79.9,0.84,54.89,2.36
2,44,Baseline,78.79,1.0,50.83,2.38
2,44,SWA,80.81,0.86,54.67,2.56
3,45,Baseline,78.53,1.02,51.36,2.34
3,45,SWA,80.14,0.87,55.45,2.41
4,46,Baseline,78.49,1.01,51.31,2.34
4,46,SWA,80.29,0.86,55.13,2.49
5,47,Baseline,78.3,1.02,51.09,2.37
5,47,SWA,80.43,0.88,55.86,2.52
6,48,Baseline,78.96,1.0,51.36,2.36
6,48,SWA,80.13,0.89,55.17,2.58
7,49,Baseline,78.12,1.03,50.39,2.38
7,49,SWA,80.4,0.86,54.79,2.42
8,50,Baseline,78.26,1.03,51.47,2.33
8,50,SWA,79.85,0.87,56.06,2.31
9,51,Baseline,77.79,1.05,50.28,2.39
9,51,SWA,79.58,0.9,55.47,2.41
10,52,Baseline,78.97,0.99,51.26,2.35
10,52,SWA,80.56,0.83,55.58,2.37
11,53,Baseline,78.25,1.03,50.87,2.36
11,53,SWA,79.48,0.91,55.47,2.42
