key_a,key_b,clean_accuracy_permuted,clean_loss_permuted
100_1,100_1,73.99,1.0721010904312134
100_1,100_2,0.91,4.675539503479004
100_1,100_3,1.0,4.661329777526856
100_1,100_4,1.0,4.629987651062012
100_1,110_1,1.03,490.983496875
100_1,110_2,1.0,4.675752188873291
100_1,110_3,1.0,4.671315740966797
100_1,110_4,1.0,4.661865472412109
100_1,120_1,1.0,4758.870671875
100_1,120_2,1.0,4.662362864685059
100_1,120_3,1.0,4.670234307861328
100_1,120_4,1.0,4.6406573371887205
100_1,130_1,0.95,121672.882375
100_1,130_2,1.0,4.665591728210449
100_1,130_3,1.0,4.673628224182129
100_1,130_4,1.0,4.638578427124023
100_1,140_1,1.07,2367.8030015625
100_1,140_2,1.0,4.670299252319336
100_1,140_3,1.0,4.669671362304688
100_1,140_4,1.0,4.658292433166504
100_1,150_1,1.01,1136.653742578125
100_1,150_2,1.0,4.663761764526368
100_1,150_3,1.0,4.669565969085693
100_1,150_4,1.0,4.653546893310547
100_1,160_1,1.35,157.96215771484376
100_1,160_2,1.02,4.669057436370849
100_1,160_3,1.0,4.666737939453125
100_1,160_4,1.0,4.655125626373291
100_1,170_1,1.13,81.76805053710937
100_1,170_2,1.01,4.658610078430176
100_1,170_3,1.0,4.6851360137939455
100_1,170_4,1.01,4.6637004974365235
100_1,180_1,0.69,7.724294281005859
100_1,180_2,1.0,4.661497621154785
100_1,180_3,1.0,4.656896682739258
100_1,180_4,1.0,4.67112727355957
100_1,190_1,0.8,4.998861637878418
100_1,190_2,1.0,4.661376419067383
100_1,190_3,1.0,4.672117915344239
100_1,190_4,1.04,4.671975177764892
100_1,200_1,1.16,4.684257732391357
100_1,200_2,0.94,4.668532926940918
100_1,200_3,1.0,4.672127572631836
100_1,200_4,0.92,4.6868747741699215
100_1,210_1,1.06,4.681206144714356
100_1,210_2,1.0,4.659345622253418
100_1,210_3,1.0,4.6763703079223635
100_1,210_4,1.22,4.6855165184021
100_1,220_1,1.31,4.677149375915527
100_1,220_2,1.0,4.669409605407715
100_1,220_3,1.0,4.660123505401612
100_1,220_4,1.05,4.692505466461181
100_1,230_1,0.96,5.945876167297364
100_1,230_2,1.0,4.661824877166748
100_1,230_3,0.94,4.665989099121094
100_1,230_4,1.2,4.696889945220947
100_1,240_1,1.31,4.694028394317627
100_1,240_2,1.08,4.6678529037475585
100_1,240_3,1.09,4.696454000091553
100_1,240_4,1.02,4.690750035095215
100_1,250_1,1.3,4.685023770141601
100_1,250_2,1.0,4.667576672363281
100_1,250_3,1.0,4.664927271270752
100_1,250_4,1.02,4.685851753997802
100_1,260_1,1.0,4.726309140014648
100_1,260_2,1.0,4.671566647338867
100_1,260_3,1.0,4.669376654052734
100_1,260_4,1.0,4.682346974182129
100_1,270_1,1.09,4.687263990783691
100_1,270_2,0.88,4.668198036193847
100_1,270_3,1.0,4.671773176574707
100_1,270_4,1.0,4.6593693923950195
100_1,280_1,1.0,4.665200285339355
100_1,280_2,1.0,4.6874214553833005
100_1,280_3,1.0,4.671857807922363
100_1,280_4,1.0,4.672280680847168
100_1,290_1,1.01,4.665874489593506
100_1,290_2,1.0,4.668469688415527
100_1,290_3,1.0,4.670288561248779
100_1,290_4,1.0,4.671004666137695
100_1,300_1,1.0,4.669224545288086
100_1,300_2,1.0,4.6653529571533205
100_1,300_3,1.0,4.6733983039855955
100_1,300_4,1.0,4.685947326660156
100_1,50_1,1.25,4.608505239105225
100_1,50_2,1.0,4.687883877563476
100_1,50_3,1.0,4.669057714080811
100_1,50_4,1.0,4.644567015075683
100_1,60_1,1.33,4.641299110412597
100_1,60_2,1.0,4.662093655395508
100_1,60_3,1.0,4.661370588684082
100_1,60_4,1.0,4.6511836227417
100_1,70_1,1.0,4.638012280273437
100_1,70_2,1.0,4.668956748962402
100_1,70_3,1.0,4.6659138305664065
100_1,70_4,1.0,4.655651847839356
100_1,80_1,1.13,4.698484777069091
100_1,80_2,1.0,4.674359327697754
100_1,80_3,1.02,4.663832643127441
100_1,80_4,1.0,4.648670799255371
100_1,90_1,1.15,4.63541880645752
100_1,90_2,1.0,4.657136420440674
100_1,90_3,1.0,4.667429359436035
100_1,90_4,1.0,4.657258207702637
100_2,100_2,77.89,1.0386897688865662
100_2,100_3,61.42,1.9363064308166504
100_2,100_4,73.96,1.273215756416321
100_2,110_1,1.0,19.421270724487304
100_2,110_2,74.46,1.2644203553199769
100_2,110_3,63.16,1.831388147354126
100_2,110_4,74.13,1.2800838133811951
100_2,120_1,1.12,6.114735541534424
100_2,120_2,73.65,1.2887217557907105
100_2,120_3,63.62,1.78763673248291
100_2,120_4,74.85,1.242868346786499
100_2,130_1,1.2,4.700792114257813
100_2,130_2,74.12,1.2602263175964354
100_2,130_3,66.32,1.6619172868728638
100_2,130_4,74.8,1.2396519373893737
100_2,140_1,1.4,4.73004059677124
100_2,140_2,74.24,1.276306909751892
100_2,140_3,68.19,1.569353871536255
100_2,140_4,74.55,1.2396824081420899
100_2,150_1,1.42,4.743079872894287
100_2,150_2,74.03,1.2750911211013793
100_2,150_3,69.94,1.4599854928016662
100_2,150_4,74.72,1.2380909293174744
100_2,160_1,1.12,4.665846061706543
100_2,160_2,73.83,1.2955670187950135
100_2,160_3,70.59,1.4624203756332397
100_2,160_4,73.81,1.2599897960662843
