key_a,key_b,branch_epoch_a,branch_epoch_b,model_id_a,model_id_b,clean_accuracy,clean_loss,acc_corr_3,loss_corr_3
200_3,300_4,200,300,3,4,78.67,1.000478852558136,51.54157894736842,2.3414231302160964
290_4,300_1,290,300,4,1,78.21,1.026616800785065,51.48052631578948,2.337357451489097
290_1,50_3,290,50,1,3,3.59,4.51647980041504,,
180_4,90_1,180,90,4,1,1.0,4.659206943511963,,
120_4,160_4,120,160,4,4,76.69,1.1105583358764648,49.35578947368421,2.442205505079972
100_3,180_2,100,180,3,2,51.64,2.321996992874145,22.228421052631575,3.715416294639989
150_4,200_4,150,200,4,4,36.65,2.9733712619781496,14.522105263157895,4.430778111628482
210_4,240_2,210,240,4,2,61.56,1.7740950761795045,28.55894736842105,3.639110927069815
210_2,60_1,210,60,2,1,1.0,4.637016179656983,,
260_4,280_4,260,280,4,4,78.08,1.018359116744995,51.298421052631575,2.34734047294416
100_4,50_2,100,50,4,2,43.89,2.717164555358887,19.386315789473684,3.8389282655013233
120_2,150_1,120,150,2,1,1.0,4.687429669189453,,
240_2,270_4,240,270,2,4,78.58,1.007376700782776,51.94947368421053,2.3215267716658743
230_3,80_3,230,80,3,3,28.77,3.3962058280944825,11.871052631578948,4.17786923972682
50_4,60_3,50,60,4,3,3.2,4.512714688873291,,
240_1,50_1,240,50,1,1,1.51,4.640600601959228,,
110_4,60_1,110,60,4,1,1.0,4.637171772766114,,
100_3,60_4,100,60,3,4,10.96,4.154639540863037,5.261578947368421,4.462398403850355
110_4,120_1,110,120,4,1,1.0,4.69496484375,,
210_1,260_2,210,260,1,2,6.53,4.365964541625977,3.774210526315789,4.543223576836837
280_2,60_1,280,60,2,1,1.0,4.637544640350342,,
240_3,280_2,240,280,3,2,79.09,0.9909431357383728,52.909473684210525,2.2716665225079185
160_2,200_1,160,200,2,1,1.41,4.596260626983643,,
210_1,80_3,210,80,1,3,2.5,4.57388698425293,,
240_3,260_4,240,260,3,4,78.88,0.9916473888397216,52.37368421052632,2.301067965748436
100_1,280_4,100,280,1,4,1.0,4.654914588165283,,
130_2,140_2,130,140,2,2,77.63,1.0777531683921815,49.30526315789474,2.4301305919747604
170_3,190_2,170,190,3,2,77.42,1.0597926858901978,48.96052631578947,2.4274205511695457
260_3,270_1,260,270,3,1,26.42,3.692798843765259,10.274736842105265,5.015596049599899
230_4,270_2,230,270,4,2,70.9,1.3100970609664917,39.41421052631579,2.9701956557825997
180_1,230_3,180,230,1,3,1.0,4.619641073608398,,
50_3,60_3,50,60,3,3,1.84,4.599020177459717,,
120_4,120_4,120,120,4,4,77.96,1.0549614938735965,51.97684210526315,2.338076344128659
130_3,140_1,130,140,3,1,1.02,4.693765316772461,,
190_3,80_4,190,80,3,4,46.08,2.570677361679077,21.68894736842105,3.6895480031465233
160_3,170_1,160,170,3,1,1.13,4.653679730224609,,
180_4,240_4,180,240,4,4,78.09,0.9912340500831603,51.806315789473686,2.31204334078337
230_2,290_1,230,290,2,1,78.78,0.9990243587493896,52.51736842105263,2.29260722603045
190_3,60_1,190,60,3,1,1.0,4.638333686828613,,
100_1,170_3,100,170,1,3,1.0,4.659878157043457,,
190_4,300_1,190,300,4,1,73.13,1.2473236227035522,41.50578947368421,2.88770596598575
210_3,80_3,210,80,3,3,31.31,3.280211449432373,13.337894736842106,4.062574933684499
100_3,180_3,100,180,3,3,55.92,2.1441613594055178,25.62421052631579,3.517054153743543
140_1,140_4,140,140,1,4,1.0,4.6885770652771,,
100_1,60_1,100,60,1,1,1.0,4.695131458282471,,
130_4,130_4,130,130,4,4,78.23,1.0410797686576845,52.24105263157895,2.320991844518561
150_1,300_2,150,300,1,2,1.0,4.70389497833252,,
200_2,90_2,200,90,2,2,70.39,1.5099580402374269,39.62315789473684,2.8763331716537475
50_4,70_2,50,70,4,2,35.52,3.1608952167510984,16.914736842105263,3.940485913708335
100_2,50_3,100,50,2,3,2.32,4.619625626373291,,
150_2,300_3,150,300,2,3,77.19,1.0670553303718566,49.21263157894737,2.429739415700812
260_1,290_3,260,290,1,3,10.06,4.542786394500732,4.759473684210526,5.191649064756695
140_1,290_1,140,290,1,1,1.1,4.688178035736084,,
260_4,290_4,260,290,4,4,78.21,1.017542121601105,51.1278947368421,2.353539007508127
190_3,250_2,190,250,3,2,78.73,0.9997822184562684,51.45684210526316,2.3378332684065164
160_4,220_3,160,220,4,3,78.2,1.032327362537384,50.70684210526316,2.372428966000206
110_4,170_2,110,170,4,2,74.7,1.2392474712371826,45.49315789473684,2.5887886906473256
260_2,70_4,260,70,2,4,42.66,2.797031586074829,19.42473684210526,3.826743531116686
150_3,250_3,150,250,3,3,76.43,1.1207850673675537,47.42052631578947,2.483004119310881
170_1,280_2,170,280,1,2,1.0,4.676220963287354,,
160_2,70_1,160,70,2,1,1.0,4.627322844696045,,
100_1,250_2,100,250,1,2,1.0,4.653321794891357,,
200_2,210_3,200,210,2,3,78.83,1.0085857795715332,51.79631578947368,2.324958581844129
120_2,200_3,120,200,2,3,71.75,1.3318849378585815,40.59736842105264,2.851347082378989
170_4,70_2,170,70,4,2,56.01,2.255358841705322,26.77315789473684,3.5420623697983595
120_3,50_1,120,50,3,1,1.0,4.630017764282226,,
270_1,280_3,270,280,1,3,43.96,2.6919907691955567,17.74947368421053,4.475028889907034
210_2,70_2,210,70,2,2,60.66,2.0098202030181884,30.688421052631583,3.302138472436604
200_4,260_4,200,260,4,4,76.31,1.0980222025871278,46.282105263157895,2.618424740841514
220_4,70_4,220,70,4,4,5.28,4.506332611846924,3.717894736842106,4.560675688854016
170_2,180_2,170,180,2,2,78.74,1.0136510926246642,52.27947368421053,2.296423617202357
60_4,90_3,60,90,4,3,9.85,4.201690317535401,5.08,4.467962511805484
180_3,240_4,180,240,3,4,72.18,1.2586913414001464,40.47368421052632,2.897685887055648
100_1,50_3,100,50,1,3,1.0,4.668418760681153,,
140_2,50_2,140,50,2,2,29.48,3.375191682052612,12.365263157894736,4.170175906191374
130_1,150_1,130,150,1,1,1.0,4.821404176330566,,
200_3,290_2,200,290,3,2,78.6,0.9998356709480286,51.65894736842105,2.3407528162203337
130_1,180_4,130,180,1,4,1.0,4.759679272460938,,
110_4,150_4,110,150,4,4,76.69,1.135583632850647,48.80842105263158,2.453945303756312
270_4,70_1,270,70,4,1,1.0,4.627831238555908,,
240_3,240_4,240,240,3,4,75.51,1.117404882240295,45.19947368421053,2.662907342338562
160_3,190_3,160,190,3,3,77.42,1.0679494548797608,48.374736842105264,2.45468602506738
170_1,240_1,170,240,1,1,2.27,4.644038066101074,,
140_2,250_4,140,250,2,4,65.64,1.5778851535797118,32.48315789473684,3.342850493531478
270_4,280_3,270,280,4,3,78.12,1.025011095905304,51.53263157894737,2.3339490375217635
160_1,220_3,160,220,1,3,1.0,4.67095110321045,,
130_1,230_2,130,230,1,2,1.0,4.752692371368409,,
230_1,260_1,230,260,1,1,71.47,1.2415416366577148,40.29052631578947,2.867010872589914
160_3,160_3,160,160,3,3,78.49,1.0053856154441834,51.74368421052632,2.31250528367695
180_3,240_2,180,240,3,2,78.44,1.0095728759765623,50.75105263157894,2.36225487613678
110_1,220_3,110,220,1,3,1.0,4.685485203552246,,
150_1,230_1,150,230,1,1,1.0,4.768004108428955,,
140_2,200_4,140,200,2,4,28.96,3.418352584838867,11.031052631578948,4.535259909037539
100_3,140_4,100,140,3,4,54.32,2.1763440967559813,23.746315789473684,3.658451332252904
210_4,280_2,210,280,4,2,58.03,1.9280443481445315,26.17421052631579,3.782979376301013
290_3,60_3,290,60,3,3,9.38,4.241084062957763,4.963684210526316,4.497062027338932
300_2,60_3,300,60,2,3,9.64,4.225336524200439,5.03421052631579,4.485569594011809
100_1,180_1,100,180,1,1,1.0,4.660356691741943,,
110_1,190_4,110,190,1,4,1.0,4.695725204467774,,
120_3,90_2,120,90,3,2,55.25,2.2073662506103515,25.667894736842104,3.5316956909179686
180_4,60_4,180,60,4,4,9.66,4.25824437713623,4.974736842105263,4.512026857195402
190_4,270_4,190,270,4,4,76.02,1.11179030418396,46.305263157894736,2.6220622794201502
160_4,280_2,160,280,4,2,78.41,1.01027895488739,51.548947368421054,2.3382714414998103
150_3,240_4,150,240,3,4,66.32,1.5356025245666505,33.67315789473684,3.199601491757443
130_2,180_4,130,180,2,4,66.12,1.6095233987808228,33.63526315789474,3.2931208319413035
130_4,280_4,130,280,4,4,74.89,1.178724543952942,45.35368421052632,2.619354191227963
120_3,240_1,120,240,3,1,4.34,4.532603036499023,,
170_2,260_3,170,260,2,3,78.52,1.013096360206604,51.97210526315789,2.3097336724381696
250_1,250_1,250,250,1,1,77.8,1.0130786049842837,50.45421052631579,2.3658612959510403
80_3,80_4,80,80,3,4,14.83,3.978991873931885,6.762631578947369,4.400742896270752
140_4,280_2,140,280,4,2,77.08,1.084460066986084,48.322631578947366,2.480725398676019
110_2,230_2,110,230,2,2,72.99,1.307466835975647,42.98947368421052,2.716057551203276
100_4,60_2,100,60,4,2,58.13,2.112014164733887,29.03421052631579,3.3745244262092995
220_3,50_1,220,50,3,1,1.0,4.630328793334961,,
160_4,290_2,160,290,4,2,78.57,1.0147963554382324,51.28473684210526,2.355822661470112
120_4,220_3,120,220,4,3,73.19,1.2760800521850586,43.22368421052632,2.7001971657301254
170_1,80_4,170,80,1,4,1.0,4.6505632453918455,,
110_4,290_4,110,290,4,4,69.6,1.4353102546691894,39.09947368421052,2.906126509375321
130_2,290_1,130,290,2,1,76.58,1.1200127584457398,47.43105263157895,2.5037768623853984
180_4,190_1,180,190,4,1,7.15,4.283769855499267,3.641052631578948,4.482582481183504
120_2,160_3,120,160,2,3,71.95,1.3148090845108031,40.83052631578947,2.816783860056024
260_2,80_1,260,80,2,1,1.0,4.649107391357422,,
210_4,80_3,210,80,4,3,6.79,4.343417189025879,3.572105263157895,4.532917482677259
300_4,90_3,300,90,4,3,43.66,2.758486883926392,18.242631578947368,3.894749473712319
170_1,280_1,170,280,1,1,1.0,4.682723009490966,,
70_3,70_4,70,70,3,4,5.93,4.413109344482422,3.4157894736842107,4.623515242807488
180_4,300_4,180,300,4,4,76.66,1.0880640506744386,48.35578947368421,2.5213115424105994
250_4,270_2,250,270,4,2,77.63,1.0321663615226746,49.787894736842105,2.421721714029814
170_3,200_2,170,200,3,2,77.33,1.0599194677352906,49.15421052631579,2.430171816906176
240_4,270_2,240,270,4,2,75.47,1.1152998636245728,45.26789473684211,2.657965103159453
230_4,90_2,230,90,4,2,13.23,4.113827820587158,6.165263157894737,4.419616530649286
180_4,260_4,180,260,4,4,78.41,1.009130964565277,51.94421052631579,2.3244266367962485
180_4,250_4,180,250,4,4,78.32,1.0024255252838137,52.31210526315789,2.3006798861754567
140_4,270_1,140,270,4,1,8.1,4.378682778930664,4.112105263157894,4.7843128638418095
270_1,80_3,270,80,1,3,3.78,4.459794618988037,,
150_3,80_2,150,80,3,2,56.57,2.1655454288482665,27.5821052631579,3.4411367486251025
100_2,60_1,100,60,2,1,1.0,4.633910865020752,,
200_1,270_4,200,270,1,4,4.5,4.433582166290283,,
200_3,280_2,200,280,3,2,78.76,0.9961951901435852,51.89947368421053,2.322092080015885
110_2,50_1,110,50,2,1,1.0,4.627511295318604,,
140_3,240_4,140,240,3,4,61.34,1.7662192708969116,28.980526315789472,3.451672267723083
170_1,190_2,170,190,1,2,1.0,4.67002943725586,,
100_2,100_2,100,100,2,2,77.88,1.0386881895065307,51.20263157894737,2.3493205860238326
240_3,260_1,240,260,3,1,10.97,4.489085682678223,5.04421052631579,5.104787507027074
150_2,180_2,150,180,2,2,78.21,1.0358288988113404,51.21368421052631,2.3284804200222617
180_4,290_1,180,290,4,1,76.52,1.098628763961792,47.939473684210526,2.541683494999534
130_4,220_4,130,220,4,4,14.98,4.018682940292359,6.5678947368421055,4.562983670786808
180_3,200_2,180,200,3,2,77.6,1.038674742412567,49.054210526315785,2.455811756876895
250_3,290_3,250,290,3,3,78.86,1.0002303511619568,52.54631578947368,2.291802099453776
220_3,300_1,220,300,3,1,79.07,0.9978345044136048,52.58631578947368,2.2834347468325964
200_2,90_3,200,90,2,3,39.4,2.914450861740112,16.29315789473684,3.983224073128951
140_1,300_4,140,300,1,4,1.18,4.686833462524414,,
80_4,90_4,80,90,4,4,76.84,1.1075343040466308,50.391052631578944,2.378104099936234
280_1,50_1,280,50,1,1,1.0,4.628582914733887,,
