key_a,key_b,branch_epoch_a,branch_epoch_b,model_id_a,model_id_b,clean_accuracy,clean_loss,acc_corr_3,loss_corr_3
50_4,220_4,50,220,4,4,5.52,4.49992163848877,3.353684210526316,4.562224996024685
50_4,220_4,50,220,4,4,5.52,4.49992163848877,3.353684210526316,4.562224996024685
70_1,150_3,70,150,1,3,1.09,4.647889530181884,1.11,4.64796056205348
150_2,170_4,150,170,2,4,67.86,1.5351106559753418,34.33894736842105,3.3536618823402806
150_3,210_2,150,210,3,2,76.82,1.106878656578064,47.57368421052632,2.515933462072673
240_1,280_2,240,280,1,2,8.14,4.690770428466797,4.084736842105263,5.182321818783409
160_1,280_3,160,280,1,3,1.0,4.662557755279541,,
260_1,270_1,260,270,1,1,79.33,0.9697268963813782,53.212105263157895,2.267487444581484
100_3,260_1,100,260,3,1,66.55,1.6825544662475589,34.65315789473684,3.119086412379616
50_1,260_4,50,260,1,4,1.03,4.668941928100586,,
110_3,280_2,110,280,3,2,71.36,1.4140753623962403,39.73684210526316,2.86017561226895
110_3,280_3,110,280,3,3,72.11,1.406011985206604,40.804736842105264,2.805769271629735
270_4,300_2,270,300,4,2,79.2,0.9869266867637634,53.07526315789473,2.260613851060365
220_3,270_2,220,270,3,2,80.03,0.9592104924201964,54.60736842105263,2.1934312107688503
190_1,290_2,190,290,1,2,2.81,4.563918749237061,,
100_2,240_1,100,240,2,1,2.37,4.595936424255371,,
90_2,210_4,90,210,2,4,10.9,4.315914224243164,4.913157894736842,4.614256509841115
180_2,200_4,180,200,2,4,32.12,3.336696648406982,12.440526315789477,4.742384135517321
220_3,280_1,220,280,3,1,80.1,0.9591730279922486,54.50842105263158,2.2008802833607324
130_1,270_4,130,270,1,4,1.0,4.73166626739502,,
140_4,300_1,140,300,4,1,78.53,1.0365177253723143,51.78368421052632,2.33076486643741
230_3,270_1,230,270,3,1,79.8,0.9659860702514648,53.57105263157895,2.2386208685724363
50_4,280_2,50,280,4,2,46.56,2.806412741470337,20.200526315789475,3.876307845768176
220_4,290_1,220,290,4,1,72.92,1.2386019859313966,40.74,2.936524693860506
60_3,160_3,60,160,3,3,20.47,3.7994957786560057,8.31578947368421,4.371366048190469
70_2,250_1,70,250,2,1,2.52,4.575040463256836,,
60_4,100_4,60,100,4,4,74.78,1.3635901388168334,44.65736842105263,2.660814633449755
260_1,290_4,260,290,1,4,79.58,0.9619991339683532,53.51789473684211,2.248105496522
130_4,230_1,130,230,4,1,2.66,4.582593125152588,,
210_4,280_1,210,280,4,1,68.4,1.4667517576217652,34.396842105263154,3.349698832090277
230_2,230_4,230,230,2,4,78.77,0.9936606575012208,51.27842105263158,2.337653683125345
70_3,260_4,70,260,3,4,42.45,2.924357276535034,18.59,3.867722554136577
60_1,230_1,60,230,1,1,1.0,4.682190030670166,,
90_2,210_2,90,210,2,2,73.23,1.3681648675918578,42.42368421052631,2.7589189448607594
50_1,290_2,50,290,1,2,1.0,4.66679786453247,,
70_1,90_3,70,90,1,3,1.0,4.649960457611084,,
50_1,120_4,50,120,1,4,1.0,4.671097665405274,,
110_3,180_3,110,180,3,3,72.03,1.4307551265716554,39.81684210526316,2.871605445249457
180_4,250_3,180,250,4,3,70.79,1.3671971588134766,38.49894736842106,3.100864359072635
240_4,250_4,240,250,4,4,78.99,0.9839881004333496,53.06105263157895,2.263033467634101
100_1,250_4,100,250,1,4,1.0,4.636765435028076,,
180_1,230_2,180,230,1,2,1.66,4.595070836639405,,
290_4,300_1,290,300,4,1,78.86,1.0091427289962769,52.578947368421055,2.290155878965478
50_3,140_2,50,140,3,2,9.55,4.277880992126465,4.334210526315789,4.52179389857242
60_4,90_1,60,90,4,1,1.0,4.715668813323974,,
130_3,270_2,130,270,3,2,76.65,1.154530886077881,47.31736842105263,2.5111904226303103
180_1,240_2,180,240,1,2,1.54,4.59925280380249,,
210_4,230_2,210,230,4,2,72.1,1.294369734954834,38.897894736842105,3.067522586852626
70_2,90_3,70,90,2,3,39.65,3.0300534454345702,16.624736842105264,3.998533891256232
80_4,230_4,80,230,4,4,31.07,3.314477374267578,12.48,4.301809746872752
150_2,270_1,150,270,2,1,78.78,1.0231892337799071,50.89947368421052,2.372553280544281
70_4,170_3,70,170,4,3,57.49,2.1691369583129885,25.476315789473684,3.618774112159328
220_4,280_1,220,280,4,1,73.49,1.2105441631317138,41.64578947368421,2.886095979901364
60_3,260_1,60,260,3,1,22.58,3.715150490951538,9.632631578947368,4.328132578137047
140_4,230_1,140,230,4,1,3.4,4.616522819519043,,
60_2,280_3,60,280,2,3,61.49,2.1171606300354004,30.33421052631579,3.378876189382453
120_1,220_3,120,220,1,3,1.06,4.698079140472412,,
170_3,270_4,170,270,3,4,79.06,0.9932509518623353,52.44947368421053,2.2917258656953514
50_3,100_4,50,100,3,4,10.99,4.170111336517334,5.101052631578948,4.473645551179584
200_1,240_2,200,240,1,2,7.13,4.394043346405029,3.769473684210528,4.595981120581376
130_4,190_1,130,190,4,1,1.94,4.600173208618164,,
140_1,280_2,140,280,1,2,1.0,4.685486195373535,,
150_4,220_3,150,220,4,3,79.66,0.9850419456481934,53.19263157894736,2.26488321390152
110_2,190_3,110,190,2,3,75.68,1.2227815994262696,45.97315789473684,2.586655556186877
240_3,290_3,240,290,3,3,79.02,0.9834004652023316,53.81421052631579,2.224040693117443
230_4,300_2,230,300,4,2,76.9,1.058685935497284,47.85684210526316,2.535226713150426
130_4,240_2,130,240,4,2,77.9,1.0673640743255617,50.0478947368421,2.4031692559794378
110_1,240_4,110,240,1,4,1.0,4.651272038269043,,
100_1,130_1,100,130,1,1,0.91,4.634818590545654,,
90_2,160_3,90,160,2,3,68.18,1.578436995506287,35.06315789473685,3.1191336675543533
70_2,100_2,70,100,2,2,67.98,1.7453085050582886,35.1621052631579,3.1401116692292064
60_4,250_2,60,250,4,2,51.57,2.497158101654053,22.80421052631579,3.722703138592369
200_1,300_1,200,300,1,1,4.68,4.4870870979309085,,
100_2,260_4,100,260,2,4,74.45,1.2806253372192382,43.648421052631576,2.6934262471851547
200_3,260_1,200,260,3,1,79.82,0.955480002975464,53.63157894736842,2.250677504439103
80_3,210_1,80,210,3,1,3.14,4.550610583496094,,
110_2,170_2,110,170,2,2,77.52,1.145065328788757,48.05578947368421,2.492666891579878
270_1,300_2,270,300,1,2,79.26,0.990319495677948,52.72052631578948,2.282324825803857
240_1,260_2,240,260,1,2,9.12,4.687190727233887,4.491052631578947,5.242532693160207
50_4,290_1,50,290,4,1,43.81,2.9347490257263185,18.632631578947368,3.9445309336612095
140_4,220_1,140,220,4,1,4.91,4.540248557281494,,
50_1,210_3,50,210,1,3,1.0,4.668658746337891,,
110_1,160_4,110,160,1,4,1.14,4.647631541442872,,
60_3,290_4,60,290,3,4,22.07,3.758853201293945,9.135263157894736,4.359837036735133
70_3,170_4,70,170,3,4,36.3,3.1859428928375246,14.913157894736845,4.086390000092356
130_4,170_1,130,170,4,1,1.0,4.632546924591065,,
200_2,250_4,200,250,2,4,79.49,0.9708737359046936,52.73736842105263,2.3067488741975084
90_1,150_2,90,150,1,2,1.0,4.714614451599121,,
240_4,260_4,240,260,4,4,78.96,0.9854089419364928,52.48736842105263,2.290173389876516
170_4,280_1,170,280,4,1,77.05,1.0729644945144654,48.24947368421053,2.5561967495968467
